#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,target,venue
,,34,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,1216,p90,latency,queue_time,execution_manager,delta
,,35,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,1728,p99,latency,queue_time,execution_manager,delta
,,36,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,12115,count,latency,queue_time,market_state,delta
,,37,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,168,p50,latency,queue_time,market_state,delta
,,38,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,224,p90,latency,queue_time,market_state,delta
,,39,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,248,p99,latency,queue_time,market_state,delta
,,40,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.703346225Z,4574,count,latency,queue_time,strategy,delta
,,41,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.703346225Z,736,p50,latency,queue_time,strategy,delta
,,42,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.703346225Z,928,p90,latency,queue_time,strategy,delta
,,43,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.703346225Z,1088,p99,latency,queue_time,strategy,delta

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,venue
,,44,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4574,count,latency,ring_push,l2,delta
,,45,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,88,p50,latency,ring_push,l2,delta
,,46,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,152,p90,latency,ring_push,l2,delta
,,47,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,176,p99,latency,ring_push,l2,delta
